5165X5

94.542	692	1412453	11292	17
193.984	673	1017867	7932	16
20.488.469	675	1426872	9694	21
974.322	71	3015819	24945	21
488.806	568	507911	18374	15
493.342	708	4014029	10542	22
1.602.477	639	1169155	36323	16
479.262	548	582679	18334	19
2.900.056	693	5743365	4143	24
15083	552	73671	7730	21
558.389	748	2227797	132691	2
54.245.153	637	993897	21406	17
545.158	618	596154	14719	13
359.543	578	966511	21589	15
16.970.711	688	1711921	47482	18
481.596	641	2350487	79128	19
133.295	733	2462561	4281	23
231.155	549	800531	17003	15
187.538	695	1644592	2368	16
181.857	77	2476938	650106	29
145.204	704	8418179	21038	29
47466	57	2109457	12608	14
1.228.058	655	1597879	73629	18
1.489.804	581	609265	13962	13
1.167.126	788	3235119	194874	25
1.495.554	534	652806	55935	21
106.608	661	948215	2111	18
255.327	776	1843556	32495	24
656.597	615	672127	26269	15
96.381	592	578463	20268	17
1.423.874	752	5588997	98393	31
149.371	693	125192	3731	16
2.236.279	663	975917	37361	17
66453	732	1087707	19884	18
218.183	684	1046157	9765	16
1.173.035	593	99142	5865	18
2.778.452	639	1089268	7003	15
5.167.652	675	1800035	8692	15
6.422.966	687	204164	3036	19
4.000.416	752	2022543	175960	21
687.779	701	1736756	931	19
805.193	533	424232	15332	15
83603	604	1068196	5645	15
21937	674	1482691	7862	17
2.729.508	773	3179716	117445	21
2.625.286	631	959043	35216	19
1.782.598	521	481182	46074	17
165566	633	4009969	11771	21
368.948	588	656547	11703	14
519.124	691	3456107	3748	2
2.976.039	512	564243	32145	19
202.829	74	2050185	5552	2
285.908	685	1282938	6368	2
8942	697	1528303	2873	14
156.903	68	959342	2509	17
345.655	649	1696041	234185	16
1.552.217	68	1418006	6756	27
303.793	536	84372	8544	17
382.215	748	336902	118477	22
295.837	708	20022633	6774	29
1.360.494	723	3740736	27906	25
173.894	724	3478512	2883	18
217.371	676	2771362	3343	21
1.610.888	725	2308934	16223	21
383.986	703	8519463	35268	26
99.111	548	631412	13538	17
303.299	76	2377081	67110	22
1.003.625	815	3710847	230770	27
644.831	781	3600123	131282	28
344.131	59	561524	10823	14
1.100.275	626	693342	29388	19
35.153	679	2702228	5395	19
1.099.933	564	705567	21398	17
2.037.391	602	914371	83757	18
63848	718	1766913	126742	17
241.302	567	69259	20418	16
49319	704	304314	14098	21
435.962	559	843436	11661	16
342.504	772	13977009	6601	28
114.785	622	735865	11244	14
174.012	575	696333	9171	15
198.967	595	987337	10362	18
46924	74	10456763	137452	39
